Lg,Season,TEAM_ID,Team_Id,Wins,Losses,Win_Percent,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top_WS
NBA,2020-21,1610612737,Atlanta Hawks,41,31,0.569,1st of 5,2.14,97.6,-1.6,115.7,3.4,113.3,1,Lost E. Conf. Finals,"L. Pierce (14-20), N. McMillan (27-11)",C. Capela (8.2)
NBA,2019-20,1610612737,Atlanta Hawks,20,47,0.299,5th of 5,-7.71,103,2.7,107.2,-3.4,114.8,4.2,,L. Pierce (20-47),T. Young (5.9)
NBA,2018-19,1610612737,Atlanta Hawks,29,53,0.354,5th of 5,-6.06,103.9,3.9,108.1,-2.3,113.9,3.5,,L. Pierce (29-53),J. Collins (6.0)
NBA,2017-18,1610612737,Atlanta Hawks,24,58,0.293,5th of 5,-5.3,98.3,1,105,-3.6,110.6,2,,M. Budenholzer (24-58),J. Collins (5.4)
NBA,2016-17,1610612737,Atlanta Hawks,43,39,0.524,2nd of 5,-1.23,97.4,1,104.9,-3.9,105.7,-3.1,Lost E. Conf. 1st Rnd.,M. Budenholzer (43-39),
NBA,2020-21,1610612738,Boston Celtics,36,36,0.5,4th of 5,1.32,98.3,-0.9,114,1.7,112.5,0.2,Lost E. Conf. 1st Rnd.,B. Stevens (36-36),J. Tatum (6.5)
NBA,2019-20,1610612738,Boston Celtics,48,24,0.667,2nd of 5,5.83,99.5,-0.8,113.3,2.7,107,-3.6,Lost E. Conf. Finals,B. Stevens (48-24),J. Tatum (6.9)
NBA,2018-19,1610612738,Boston Celtics,49,33,0.598,3rd of 5,3.9,99.6,-0.4,112.2,1.8,107.8,-2.6,Lost E. Conf. Semis,B. Stevens (49-33),K. Irving (9.1)
NBA,2017-18,1610612738,Boston Celtics,55,27,0.671,2nd of 5,3.23,96,-1.3,107.6,-1,103.9,-4.7,Lost E. Conf. Finals,B. Stevens (55-27),K. Irving (8.9)
NBA,2016-17,1610612738,Boston Celtics,53,29,0.646,1st of 5,2.25,96.8,0.4,111.2,2.4,108.4,-0.4,Lost E. Conf. Finals,B. Stevens (53-29),I. Thomas (12.5)
NBA,2020-21,1610612751,Brooklyn Nets,48,24,0.667,2nd of 5,4.24,99.5,0.3,118.3,6,113.8,1.5,Lost E. Conf. Semis,S. Nash (48-24),K. Irving (7.4)
NBA,2019-20,1610612751,Brooklyn Nets,35,37,0.486,4th of 5,-1.01,101.4,1.1,108.9,-1.7,109.5,-1.1,Lost E. Conf. 1st Rnd.,"K. Atkinson (28-34), J. Vaughn (7-3)",J. Allen (8.2)
NBA,2018-19,1610612751,Brooklyn Nets,42,40,0.512,4th of 5,-0.4,100.8,0.8,109.6,-0.8,109.7,-0.7,Lost E. Conf. 1st Rnd.,K. Atkinson (42-40),J. Allen (7.6)
NBA,2017-18,1610612751,Brooklyn Nets,28,54,0.341,5th of 5,-3.67,98.9,1.6,106.9,-1.7,110.6,2,,K. Atkinson (28-54),S. Dinwiddie (5.7)
NBA,2016-17,1610612751,Brooklyn Nets,20,62,0.244,5th of 5,-6.74,101.3,4.9,104.1,-4.7,110.7,1.9,,K. Atkinson (20-62),
NBA,2020-21,1610612766,Charlotte Hornets,33,39,0.458,4th of 5,-1.94,98.3,-0.9,110.9,-1.4,112.8,0.5,,J. Borrego (33-39),T. Rozier (5.2)
NBA,2019-20,1610612766,Charlotte Hornets,23,42,0.354,3rd of 5,-7.03,95.8,-4.5,106.3,-4.3,113.3,2.7,,J. Borrego (23-42),C. Zeller (3.6)
NBA,2018-19,1610612766,Charlotte Hornets,39,43,0.476,2nd of 5,-1.32,98.7,-1.3,111.4,1,112.5,2.1,,J. Borrego (39-43),K. Walker (7.4)
NBA,2017-18,1610612766,Charlotte Hornets,36,46,0.439,3rd of 5,0.07,98.4,1.1,109.4,0.8,109.1,0.5,,S. Clifford (36-46),K. Walker (8.6)
NBA,2016-17,1610612766,Charlotte Hornets,36,46,0.439,4th of 5,-0.07,95.7,-0.7,108.8,0,108.6,-0.2,,S. Clifford (36-46),K. Walker (8.1)
NBA,2020-21,1610612741,Chicago Bulls,31,41,0.431,3rd of 5,-0.94,99,-0.2,111.1,-1.2,112,-0.3,,B. Donovan (31-41),Z. LaVine (5.9)
NBA,2019-20,1610612741,Chicago Bulls,22,43,0.338,3rd of 5,-4,99.7,-0.6,106.7,-3.9,109.8,-0.8,,J. Boylen (22-43),Z. LaVine (4.0)
NBA,2018-19,1610612741,Chicago Bulls,22,60,0.268,4th of 5,-8.32,99,-1,104.8,-5.6,113.2,2.8,,"F. Hoiberg (5-19), J. Boylen (17-41)",R. Arcidiacono (3.7)
NBA,2017-18,1610612741,Chicago Bulls,27,55,0.329,5th of 5,-6.84,98.3,1,103.8,-4.8,110.9,2.3,,F. Hoiberg (27-55),B. Portis (3.5)
NBA,2016-17,1610612741,Chicago Bulls,41,41,0.5,4th of 5,0.03,95.3,-1.1,107.4,-1.4,107,-1.8,Lost E. Conf. 1st Rnd.,F. Hoiberg (41-41),
NBA,2020-21,1610612742,Dallas Mavericks,42,30,0.583,1st of 5,2.26,97.3,-1.9,115.4,3.1,113,0.7,Lost W. Conf. 1st Rnd.,R. Carlisle (42-30),L. Dončić (7.7)
NBA,2019-20,1610612742,Dallas Mavericks,43,32,0.573,2nd of 5,4.87,99.3,-1,116.7,6.1,111.7,1.1,Lost W. Conf. 1st Rnd.,R. Carlisle (43-32),L. Dončić (8.8)
NBA,2018-19,1610612742,Dallas Mavericks,33,49,0.402,5th of 5,-0.87,99,-1,109.4,-1,110.7,0.3,,R. Carlisle (33-49),D. Powell (7.5)
NBA,2017-18,1610612742,Dallas Mavericks,24,58,0.293,4th of 5,-2.7,95.6,-1.7,106.3,-2.3,109.5,0.9,,R. Carlisle (24-58),D. Powell (6.6)
NBA,2016-17,1610612742,Dallas Mavericks,33,49,0.402,5th of 5,-2.53,92.2,-4.2,105.6,-3.2,108.8,0,,R. Carlisle (33-49),S. Curry (4.6)
NBA,2020-21,1610612739,Cleveland Cavaliers,22,50,0.306,4th of 5,-8.19,97.3,-1.9,105.8,-6.5,114.4,2.1,,J. Bickerstaff (22-50),J. Allen (5.0)
NBA,2019-20,1610612739,Cleveland Cavaliers,19,46,0.292,5th of 5,-7.77,98.7,-1.6,107.5,-3.1,115.4,4.8,,"J. Beilein (14-40), J. Bickerstaff (5-6)",L. Nance (3.9)
NBA,2018-19,1610612739,Cleveland Cavaliers,19,63,0.232,5th of 5,-9.39,96.6,-3.4,107.7,-2.7,117.6,7.2,,"T. Lue (0-6), L. Drew (19-57)",L. Nance (4.9)
NBA,2017-18,1610612739,Cleveland Cavaliers,50,32,0.61,1st of 5,0.59,98,0.7,112.9,4.3,111.9,3.3,Lost Finals,T. Lue (50-32),L. James (14.0)
NBA,2016-17,1610612739,Cleveland Cavaliers,51,31,0.622,1st of 5,2.87,96.2,-0.2,113.6,4.8,110.3,1.5,Lost Finals,T. Lue (51-31),L. James (12.9)
NBA,2020-21,1610612743,Denver Nuggets,47,25,0.653,2nd of 5,4.82,97.1,-2.1,117.1,4.8,112.1,-0.2,Lost W. Conf. Semis,M. Malone (47-25),N. Jokić (15.6)
NBA,2019-20,1610612743,Denver Nuggets,46,27,0.63,1st of 5,2.35,97.1,-3.2,113.1,2.5,111,0.4,Lost W. Conf. Finals,M. Malone (46-27),N. Jokić (9.8)
NBA,2018-19,1610612743,Denver Nuggets,54,28,0.659,1st of 5,4.19,97.7,-2.3,113,2.6,108.9,-1.5,Lost W. Conf. Semis,M. Malone (54-28),N. Jokić (11.8)
NBA,2017-18,1610612743,Denver Nuggets,46,36,0.561,5th of 5,1.57,96.8,-0.5,112.5,3.9,111,2.4,,M. Malone (46-36),N. Jokić (10.7)
NBA,2016-17,1610612743,Denver Nuggets,40,42,0.488,4th of 5,0.7,98.3,1.9,113.2,4.4,112.7,3.9,,M. Malone (40-42),N. Jokić (9.7)
NBA,2020-21,1610612765,Detroit Pistons,20,52,0.278,5th of 5,-4.38,97.9,-1.3,108,-4.3,112.5,0.2,,D. Casey (20-52),M. Plumlee (5.1)
NBA,2019-20,1610612765,Detroit Pistons,20,46,0.303,4th of 5,-4.38,97.6,-2.7,109,-1.6,112.7,2.1,,D. Casey (20-46),C. Wood (5.1)
NBA,2018-19,1610612765,Detroit Pistons,41,41,0.5,3rd of 5,-0.56,97.4,-2.6,109,-1.4,109.2,-1.2,Lost E. Conf. 1st Rnd.,D. Casey (41-41),A. Drummond (10.0)
NBA,2017-18,1610612765,Detroit Pistons,39,43,0.476,4th of 5,-0.26,96.2,-1.1,107.2,-1.4,107.3,-1.3,,S. Van Gundy (39-43),A. Drummond (10.3)
NBA,2016-17,1610612765,Detroit Pistons,37,45,0.451,5th of 5,-1.29,95,-1.4,106,-2.8,107.1,-1.7,,S. Van Gundy (37-45),T. Harris (6.8)
NBA,2020-21,1610612744,Golden State Warriors,39,33,0.542,4th of 5,1.1,102.2,3,111.1,-1.2,110.1,-2.2,,S. Kerr (39-33),S. Curry (9.0)
NBA,2019-20,1610612744,Golden State Warriors,15,50,0.231,5th of 5,-8.12,100.3,0,105.2,-5.4,113.8,3.2,,S. Kerr (15-50),M. Chriss (3.4)
NBA,2018-19,1610612744,Golden State Warriors,57,25,0.695,1st of 5,6.42,100.9,0.9,115.9,5.5,109.5,-0.9,Lost Finals,S. Kerr (57-25),K. Durant (11.5)
NBA,2017-18,1610612744,Golden State Warriors,58,24,0.707,1st of 5,5.79,99.6,2.3,113.6,5,107.6,-1,Won Finals,S. Kerr (58-24),K. Durant (10.4)
NBA,2016-17,1610612744,Golden State Warriors,67,15,0.817,1st of 5,11.35,99.8,3.4,115.6,6.8,104,-4.8,Won Finals,S. Kerr (67-15),S. Curry (12.6)
NBA,2020-21,1610612745,Houston Rockets,17,55,0.236,5th of 5,-7.5,101.4,2.2,107.1,-5.2,114.9,2.6,,S. Silas (17-55),J. Tate (3.8)
NBA,2019-20,1610612745,Houston Rockets,44,28,0.611,1st of 5,3.13,103.7,3.4,112.9,2.3,110.1,-0.5,Lost W. Conf. Semis,M. D'Antoni (44-28),J. Harden (13.1)
NBA,2018-19,1610612745,Houston Rockets,53,29,0.646,1st of 5,4.96,97.9,-2.1,115.5,5.1,110.7,0.3,Lost W. Conf. Semis,M. D'Antoni (53-29),J. Harden (15.2)
NBA,2017-18,1610612745,Houston Rockets,65,17,0.793,1st of 5,8.21,97.6,0.3,114.7,6.1,106.1,-2.5,Lost W. Conf. Finals,M. D'Antoni (65-17),J. Harden (15.4)
NBA,2016-17,1610612745,Houston Rockets,55,27,0.671,2nd of 5,5.84,100,3.6,114.7,5.9,109,0.2,Lost W. Conf. Semis,M. D'Antoni (55-27),J. Harden (15.0)
NBA,2020-21,1610612754,Indiana Pacers,34,38,0.472,2nd of 5,-0.13,101.6,2.4,112.4,0.1,112.4,0.1,,N. Bjorkgren (34-38),D. Sabonis (6.9)
NBA,2019-20,1610612754,Indiana Pacers,45,28,0.616,2nd of 5,1.63,98.9,-1.4,110,-0.6,108,-2.6,Lost E. Conf. 1st Rnd.,N. McMillan (45-28),D. Sabonis (7.5)
NBA,2018-19,1610612754,Indiana Pacers,48,34,0.585,2nd of 5,2.76,98.1,-1.9,109.9,-0.5,106.5,-3.9,Lost E. Conf. 1st Rnd.,N. McMillan (48-34),D. Sabonis (7.6)
NBA,2017-18,1610612754,Indiana Pacers,48,34,0.585,2nd of 5,1.18,96,-1.3,109.5,0.9,108.1,-0.5,Lost E. Conf. 1st Rnd.,N. McMillan (48-34),V. Oladipo (8.2)
NBA,2016-17,1610612754,Indiana Pacers,42,40,0.512,3rd of 5,-0.64,95.9,-0.5,108.6,-0.2,108.8,0,Lost E. Conf. 1st Rnd.,N. McMillan (42-40),J. Teague (8.1)
NBA,2020-21,1610612746,Los Angeles Clippers,47,25,0.653,2nd of 5,6.02,96.9,-2.3,117.6,5.3,111.2,-1.1,Lost W. Conf. Finals,T. Lue (47-25),K. Leonard (8.8)
NBA,2019-20,1610612746,Los Angeles Clippers,49,23,0.681,2nd of 5,6.66,101.5,1.2,113.9,3.3,107.6,-3,Lost W. Conf. Semis,D. Rivers (49-23),K. Leonard (8.7)
NBA,2018-19,1610612746,Los Angeles Clippers,48,34,0.585,2nd of 5,1.09,101.7,1.7,112.4,2,111.5,1.1,Lost W. Conf. 1st Rnd.,D. Rivers (48-34),M. Harrell (8.7)
NBA,2017-18,1610612746,Los Angeles Clippers,42,40,0.512,2nd of 5,0.15,98.7,1.4,110.3,1.7,110.2,1.6,,D. Rivers (42-40),D. Jordan (9.4)
NBA,2016-17,1610612746,Los Angeles Clippers,51,31,0.622,2nd of 5,4.42,96.1,-0.3,112.7,3.9,108.2,-0.6,Lost W. Conf. 1st Rnd.,D. Rivers (51-31),D. Jordan (11.8)
NBA,2020-21,1610612747,Los Angeles Lakers,42,30,0.583,3rd of 5,2.77,98.7,-0.5,109.9,-2.4,107.1,-5.2,Lost W. Conf. 1st Rnd.,F. Vogel (42-30),M. Harrell (7.3)
NBA,2019-20,1610612747,Los Angeles Lakers,52,19,0.732,1st of 5,6.28,100.9,0.6,112,1.4,106.3,-4.3,Won Finals,F. Vogel (52-19),A. Davis (11.1)
NBA,2018-19,1610612747,Los Angeles Lakers,37,45,0.451,4th of 5,-1.33,103.2,3.2,107.8,-2.6,109.5,-0.9,,L. Walton (37-45),L. James (7.2)
NBA,2017-18,1610612747,Los Angeles Lakers,35,47,0.427,3rd of 5,-1.44,100.3,3,106.5,-2.1,108,-0.6,,L. Walton (35-47),J. Randle (6.6)
NBA,2016-17,1610612747,Los Angeles Lakers,26,56,0.317,4th of 5,-6.29,98.5,2.1,106,-2.8,113,4.2,,L. Walton (26-56),L. Williams (4.9)
NBA,2020-21,1610612763,Memphis Grizzlies,38,34,0.528,2nd of 5,1.07,100.4,1.2,112,-0.3,111,-1.3,Lost W. Conf. 1st Rnd.,T. Jenkins (38-34),J. Valančiūnas (7.8)
NBA,2019-20,1610612763,Memphis Grizzlies,34,39,0.466,3rd of 5,-0.91,102.8,2.5,109.2,-1.4,110.3,-0.3,,T. Jenkins (34-39),J. Valančiūnas (7.0)
NBA,2018-19,1610612763,Memphis Grizzlies,33,49,0.402,3rd of 5,-2.08,96.6,-3.4,106.1,-4.3,108.8,-1.6,,J. Bickerstaff (33-49),M. Conley (8.0)
NBA,2017-18,1610612763,Memphis Grizzlies,22,60,0.268,5th of 5,-5.81,94.9,-2.4,104.5,-4.1,111,2.4,,"D. Fizdale (7-12), J. Bickerstaff (15-48)",T. Evans (4.2)
NBA,2016-17,1610612763,Memphis Grizzlies,43,39,0.524,3rd of 5,0.96,92.3,-4.1,107.7,-1.1,107.1,-1.7,Lost W. Conf. 1st Rnd.,D. Fizdale (43-39),M. Conley (10.0)
